brand,model,price_usd,rating,sentiment,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,cluster,age,country,verified_purchase,source
Realme,Realme Narzo 70,440.19,3,Positive,2,1,5,1,1,7,0,39,Brazil,True,Flipkart
Apple,iPhone SE,856.62,5,Positive,5,4,4,4,3,6,1,32,USA,True,eBay
Realme,Realme Narzo 70,294.5,4,Positive,3,3,4,5,4,5,1,28,USA,True,eBay
Motorola,Moto G Power,530.14,4,Positive,5,4,3,4,4,6,1,31,USA,True,eBay
Realme,Realme 12 Pro,525.5,3,Positive,3,2,5,1,3,4,1,23,Brazil,True,AliExpress
Motorola,Moto G Power,585.18,1,Neutral,2,1,1,1,1,2,0,32,UAE,True,BestBuy
Motorola,Edge 50,615.46,1,Negative,2,1,1,1,1,1,0,35,USA,True,eBay
Google,Pixel 6,541.65,4,Positive,4,4,2,4,5,6,1,18,Brazil,True,BestBuy
Samsung,Galaxy Z Flip,1357.63,3,Positive,3,2,3,4,2,6,1,20,Canada,True,AliExpress
Realme,Realme Narzo 70,596.84,2,Negative,4,2,2,1,2,2,0,31,India,True,eBay
Xiaomi,Poco X6,351.56,4,Positive,3,4,4,3,2,9,1,22,Canada,True,Amazon
Apple,iPhone SE,1353.96,4,Positive,3,3,2,3,2,9,1,35,Canada,True,AliExpress
OnePlus,OnePlus Nord 3,676.67,5,Positive,4,5,5,3,4,4,1,26,Australia,True,eBay
OnePlus,OnePlus Nord 3,752.73,2,Neutral,2,1,1,1,1,4,0,44,Germany,True,store
Apple,iPhone 13,1199.12,4,Positive,3,3,4,3,2,4,1,19,Canada,True,store
Motorola,Razr 40,449.69,4,Positive,2,4,3,4,4,4,1,33,Germany,True,BestBuy
Samsung,Galaxy Note 20,724.68,2,Neutral,1,1,1,2,2,4,0,18,India,True,Amazon
OnePlus,OnePlus Nord 3,682.94,2,Neutral,2,1,1,3,1,1,0,26,UAE,True,Amazon
OnePlus,OnePlus Nord 3,463.17,5,Positive,5,4,3,5,4,5,1,37,USA,True,AliExpress
Realme,Realme 12 Pro,515.46,4,Positive,4,5,4,4,5,4,1,30,UK,True,Flipkart
Apple,iPhone 15 Pro,1045.66,4,Positive,3,3,4,3,2,9,1,31,Canada,True,eBay
OnePlus,OnePlus 11R,704.27,2,Negative,1,2,2,2,1,4,0,29,Brazil,True,Amazon
Motorola,Edge 50,378.53,3,Neutral,4,3,2,1,2,2,0,33,Canada,True,Flipkart
Samsung,Galaxy S24,1133.07,2,Neutral,1,2,3,1,1,1,0,24,UK,True,AliExpress
Xiaomi,Mi 13 Pro,638.33,1,Negative,1,1,1,2,2,0,0,18,India,True,eBay
Apple,iPhone 13,1195.67,3,Positive,5,2,3,4,5,7,1,24,Germany,True,AliExpress
Samsung,Galaxy A55,458.55,5,Positive,5,5,3,4,4,6,1,39,Germany,True,BestBuy
Google,Pixel 6,752.75,1,Neutral,1,2,1,2,1,1,0,26,Germany,True,BestBuy
Realme,Realme Narzo 70,332.14,3,Neutral,2,4,5,3,3,4,1,37,Germany,True,AliExpress
Apple,iPhone 15 Pro,1282.35,4,Positive,3,3,4,3,4,4,1,46,Australia,True,Flipkart
Realme,Realme 12 Pro,298.52,4,Positive,3,3,3,5,3,3,1,27,Germany,True,Flipkart
Xiaomi,Poco X6,405.55,4,Positive,4,4,4,3,3,5,1,32,UAE,False,eBay
Realme,Realme Narzo 70,417.44,4,Positive,3,3,3,3,4,5,1,33,USA,True,BestBuy
Realme,Realme 12 Pro,477.29,4,Positive,3,2,3,3,5,4,1,29,UK,True,BestBuy
Realme,Realme Narzo 70,518.69,3,Positive,2,2,3,4,3,6,1,22,India,True,BestBuy
Apple,iPhone 15 Pro,752.16,4,Positive,4,3,3,5,4,7,1,30,India,True,Flipkart
Google,Pixel 7a,880.75,3,Neutral,1,3,3,3,3,3,0,28,UAE,True,AliExpress
Samsung,Galaxy Note 20,602.02,4,Positive,4,3,2,3,4,9,1,32,UAE,True,AliExpress
Motorola,Edge 50,297.34,5,Positive,5,5,5,4,5,7,1,55,UK,True,Amazon
Samsung,Galaxy S24,894.21,1,Negative,1,1,1,1,1,1,0,20,UAE,True,BestBuy
Google,Pixel 6,770.21,3,Neutral,3,2,3,2,2,3,0,45,Germany,False,Flipkart
Xiaomi,Poco X6,287.44,2,Negative,1,2,1,2,3,1,0,35,UK,False,AliExpress
Realme,Realme 12 Pro,193.94,4,Positive,4,4,4,5,4,6,1,31,USA,True,AliExpress
OnePlus,OnePlus 12,597.26,1,Negative,1,1,1,1,1,3,0,28,Germany,False,eBay
Google,Pixel 7a,1077.69,3,Neutral,3,2,3,2,2,1,0,24,Australia,True,eBay
Xiaomi,Mi 13 Pro,434.38,4,Positive,4,5,3,4,4,4,1,18,Canada,True,eBay
Apple,iPhone SE,1335.66,4,Positive,3,4,4,4,4,7,1,41,UAE,False,Flipkart
Xiaomi,Redmi Note 13,503.54,3,Neutral,3,3,1,2,2,4,0,46,UK,True,Amazon
Xiaomi,Poco X6,458.29,3,Positive,2,3,5,3,2,3,1,40,UK,True,BestBuy
OnePlus,OnePlus 11R,574.4,4,Positive,3,3,2,2,4,6,1,40,Brazil,False,AliExpress
Xiaomi,Mi 13 Pro,518.2,4,Positive,4,3,3,1,3,3,1,46,UAE,True,Flipkart
Realme,Realme Narzo 70,213.68,4,Positive,2,5,3,4,4,5,1,34,Canada,False,Amazon
Xiaomi,Redmi Note 13,466.98,4,Positive,3,3,2,3,4,6,1,29,Germany,True,Amazon
OnePlus,OnePlus Nord 3,629.46,2,Neutral,1,3,2,2,1,2,0,19,Australia,True,eBay
Google,Pixel 6,923.35,2,Neutral,1,1,1,1,2,1,0,19,UK,True,eBay
Google,Pixel 6,887.49,2,Neutral,1,1,2,3,1,3,0,27,Canada,True,eBay
Realme,Realme Narzo 70,383.95,4,Positive,4,3,3,3,3,1,1,35,UAE,False,eBay
OnePlus,OnePlus 11R,841.54,4,Positive,4,3,5,4,3,4,1,27,UK,False,AliExpress
OnePlus,OnePlus 11R,702.11,3,Neutral,4,1,2,1,2,3,0,27,Brazil,False,Flipkart
Xiaomi,Mi 13 Pro,269.6,4,Positive,4,4,5,5,3,3,1,53,USA,True,AliExpress
OnePlus,OnePlus 11R,976.62,3,Neutral,2,1,1,1,1,2,0,32,Germany,True,AliExpress
Motorola,Razr 40,477.61,2,Negative,1,3,1,1,1,3,0,29,India,False,BestBuy
Motorola,Edge 50,788.44,5,Positive,5,5,5,4,4,7,1,35,Australia,True,Flipkart
Realme,Realme 12 Pro,443.17,1,Negative,2,1,1,1,1,2,0,26,India,True,BestBuy
Realme,Realme 12 Pro,582.13,3,Positive,3,3,3,3,2,7,1,24,USA,True,Flipkart
Samsung,Galaxy A55,807.54,4,Positive,4,3,4,4,3,4,1,24,Australia,False,BestBuy
Motorola,Moto G Power,441.72,4,Positive,3,4,3,3,1,6,1,22,Germany,True,Amazon
Samsung,Galaxy A55,1288.66,5,Positive,4,5,3,5,5,6,1,18,Brazil,True,eBay
Apple,iPhone SE,927.42,4,Positive,4,3,5,4,3,3,1,24,USA,True,store
Google,Pixel 7a,1003.6,5,Positive,4,4,3,4,4,7,1,21,Australia,True,AliExpress
Google,Pixel 7a,796.29,4,Positive,5,5,5,5,5,4,1,44,Canada,False,BestBuy
Realme,Realme Narzo 70,331.22,1,Negative,1,1,1,1,2,2,0,30,USA,False,BestBuy
Xiaomi,Redmi Note 13,436.14,1,Negative,1,1,1,1,1,3,0,36,USA,True,BestBuy
Realme,Realme Narzo 70,479.55,4,Positive,3,3,4,2,4,1,1,36,UK,False,AliExpress
Xiaomi,Mi 13 Pro,368.67,4,Positive,3,1,3,5,4,1,1,27,India,True,Flipkart
Motorola,Moto G Power,778.1,3,Positive,3,3,3,3,3,2,1,41,USA,True,BestBuy
Samsung,Galaxy S24,693.31,3,Neutral,3,3,1,3,3,2,0,18,UAE,True,AliExpress
Apple,iPhone 14,752.56,4,Positive,3,5,4,4,2,5,1,18,Australia,True,Flipkart
Apple,iPhone SE,817.84,3,Positive,1,3,5,3,2,4,1,50,UK,True,Amazon
Realme,Realme 12 Pro,249.61,4,Positive,4,4,4,3,2,4,1,34,UK,True,Flipkart
Google,Pixel 7a,975.56,2,Negative,1,2,3,1,2,1,0,30,India,True,eBay
Google,Pixel 8,839.05,1,Neutral,1,1,1,1,1,1,0,26,USA,True,AliExpress
Google,Pixel 8,757.22,5,Positive,4,4,5,4,4,8,1,27,UAE,False,Amazon
Xiaomi,Poco X6,490.04,3,Positive,3,2,4,2,2,4,1,39,USA,True,Amazon
OnePlus,OnePlus 11R,484.6,1,Positive,1,1,1,2,1,6,0,18,UK,True,AliExpress
Google,Pixel 6,522.54,5,Positive,4,3,3,4,5,6,1,18,Australia,True,AliExpress
Xiaomi,Redmi Note 13,385.47,2,Negative,3,3,2,2,1,1,0,24,USA,True,Flipkart
Xiaomi,Mi 13 Pro,590.32,3,Neutral,4,2,2,3,4,5,1,18,UAE,True,BestBuy
Xiaomi,Mi 13 Pro,660.5,5,Neutral,5,5,4,4,3,5,1,36,Germany,True,eBay
Apple,iPhone 14,1457.67,3,Positive,3,3,2,2,1,6,1,26,USA,True,BestBuy
Motorola,Edge 50,717.58,4,Positive,5,3,3,2,2,8,1,32,India,True,eBay
OnePlus,OnePlus 11R,788.11,3,Positive,1,1,1,4,2,3,0,34,Brazil,True,BestBuy
Apple,iPhone 13,1248.36,5,Positive,4,5,5,5,5,3,1,28,UK,False,BestBuy
Motorola,Razr 40,366.71,4,Positive,4,3,3,3,4,4,1,29,Australia,True,eBay
Motorola,Razr 40,489.82,5,Positive,3,5,5,4,5,4,1,39,India,True,BestBuy
Realme,Realme Narzo 70,186.35,2,Negative,2,3,1,1,3,1,0,18,Australia,True,Flipkart
Google,Pixel 6,592.9,2,Negative,2,2,1,3,3,1,0,35,Brazil,True,Amazon
Apple,iPhone 13,1166.34,4,Positive,5,3,4,2,3,5,1,29,Brazil,True,store
OnePlus,OnePlus 11R,820.24,4,Positive,5,2,4,3,4,3,1,47,Australia,False,Flipkart
Samsung,Galaxy S24,648.38,3,Positive,2,2,3,4,2,9,1,21,USA,True,eBay
Google,Pixel 7a,722.67,2,Negative,4,1,1,2,2,3,0,40,Brazil,True,Amazon
OnePlus,OnePlus Nord 3,808.55,5,Positive,4,5,4,4,5,3,1,22,USA,True,BestBuy
Apple,iPhone 13,1311.55,2,Positive,2,1,1,2,2,4,0,18,Brazil,True,BestBuy
Samsung,Galaxy A55,649.96,2,Positive,3,1,1,3,1,6,0,35,Germany,True,eBay
Google,Pixel 6,607.55,2,Neutral,2,2,1,2,1,0,0,27,Australia,False,Amazon
Xiaomi,Redmi Note 13,311.18,3,Positive,3,2,2,2,2,8,1,18,UAE,True,store
Xiaomi,Poco X6,450.06,4,Positive,2,4,3,4,3,5,1,39,Brazil,True,BestBuy
Samsung,Galaxy Z Flip,819.27,4,Positive,2,5,4,4,5,7,1,56,Australia,False,Flipkart
Xiaomi,Poco X6,627.49,1,Negative,2,1,1,1,1,1,0,29,Brazil,True,BestBuy
Realme,Realme Narzo 70,452.29,2,Positive,1,1,2,1,1,3,0,42,Canada,True,Amazon
Google,Pixel 6,933.64,3,Neutral,2,2,3,3,2,5,0,18,Canada,True,Flipkart
Samsung,Galaxy S24,540.32,3,Neutral,3,2,2,3,3,6,1,44,UK,True,Flipkart
Motorola,Razr 40,293.89,3,Positive,2,1,2,2,3,3,0,39,USA,True,AliExpress
Motorola,Razr 40,429.68,1,Negative,1,1,1,1,1,2,0,41,UAE,False,BestBuy
Samsung,Galaxy Z Flip,590.93,3,Neutral,3,1,3,3,2,0,0,18,USA,True,BestBuy
Google,Pixel 8,919.37,4,Positive,3,3,4,3,4,9,1,25,Australia,True,eBay
Apple,iPhone 14,753.8,5,Positive,3,4,4,4,5,3,1,36,Australia,True,Amazon
Google,Pixel 6,958.61,4,Neutral,5,5,5,4,5,5,1,33,Brazil,True,Amazon
Xiaomi,Poco X6,314.44,3,Neutral,3,3,2,3,4,3,1,18,Canada,True,Flipkart
Apple,iPhone 15 Pro,1100.29,2,Neutral,3,1,1,3,3,1,0,40,USA,True,Flipkart
Apple,iPhone 13,1064.14,2,Neutral,3,2,2,2,2,2,0,33,UAE,True,Flipkart
OnePlus,OnePlus Nord 3,722.19,4,Positive,4,2,5,3,3,9,1,31,Germany,True,AliExpress
Apple,iPhone SE,1342.11,2,Negative,3,1,1,1,2,1,0,30,USA,True,eBay
OnePlus,OnePlus Nord 3,600.64,4,Positive,3,2,3,2,3,4,1,23,UK,True,Flipkart
OnePlus,OnePlus Nord 3,516.7,3,Neutral,4,3,3,3,3,5,1,31,Brazil,True,eBay
Realme,Realme Narzo 70,240.51,2,Neutral,1,1,1,2,1,0,0,29,UK,True,eBay
Google,Pixel 7a,751.16,4,Positive,5,4,3,4,5,7,1,46,India,True,Flipkart
OnePlus,OnePlus Nord 3,894.85,4,Positive,5,3,2,3,4,5,1,27,Canada,True,BestBuy
Motorola,Edge 50,586.85,2,Positive,1,2,1,2,1,6,0,38,India,True,Flipkart
Samsung,Galaxy A55,774.55,2,Neutral,1,3,2,1,2,2,0,22,UK,True,Flipkart
Xiaomi,Poco X6,637.04,4,Positive,5,4,3,2,3,3,1,33,Germany,True,BestBuy
Motorola,Moto G Power,324.52,4,Positive,4,5,3,3,2,7,1,29,Canada,True,BestBuy
Motorola,Moto G Power,322.67,5,Positive,5,5,4,5,5,3,1,32,Brazil,False,Flipkart
Motorola,Moto G Power,469.42,4,Positive,3,3,3,5,3,5,1,32,India,True,Amazon
Realme,Realme 12 Pro,417.63,1,Negative,2,1,1,1,1,2,0,28,Germany,True,AliExpress
Samsung,Galaxy Z Flip,717.55,2,Negative,2,2,3,1,1,1,0,21,USA,False,Amazon
Xiaomi,Redmi Note 13,371.69,2,Negative,2,1,2,1,1,6,0,28,Brazil,True,Amazon
OnePlus,OnePlus 12,386.14,3,Neutral,1,1,1,2,3,3,0,36,India,False,BestBuy
Motorola,Edge 50,405.26,4,Positive,3,2,4,2,2,8,1,47,UK,False,eBay
Realme,Realme 12 Pro,455.95,1,Negative,1,1,1,1,3,0,0,18,UAE,False,Amazon
OnePlus,OnePlus 12,987.37,4,Positive,4,5,2,4,3,2,1,23,UK,True,BestBuy
Samsung,Galaxy Note 20,1092.01,3,Neutral,2,4,2,5,3,6,1,35,USA,True,AliExpress
Xiaomi,Redmi Note 13,242.34,5,Positive,4,3,5,5,4,6,1,29,USA,True,AliExpress
Samsung,Galaxy A55,875.6,2,Positive,1,2,2,1,2,5,0,34,Germany,True,Flipkart
Google,Pixel 7a,712.8,3,Neutral,3,4,1,2,2,3,0,26,UK,False,Amazon
Google,Pixel 6,737.16,3,Positive,2,2,2,1,3,9,1,33,India,True,eBay
OnePlus,OnePlus Nord 3,790.33,5,Positive,5,4,5,5,3,7,1,35,India,True,Amazon
Motorola,Razr 40,223.56,3,Positive,3,2,4,4,3,5,1,29,Australia,True,BestBuy
Motorola,Razr 40,562.12,2,Neutral,1,2,2,1,1,1,0,33,UK,True,Flipkart
Motorola,Edge 50,654.37,1,Negative,1,2,2,1,1,0,0,28,USA,True,Amazon
Motorola,Edge 50,700.97,1,Negative,1,1,1,1,1,1,0,24,India,True,AliExpress
Xiaomi,Mi 13 Pro,593.69,4,Positive,3,4,3,2,4,5,1,30,India,True,Amazon
Motorola,Razr 40,455.67,1,Negative,1,1,1,1,1,0,0,36,Australia,True,eBay
Xiaomi,Poco X6,446.27,3,Positive,1,1,3,4,3,3,0,19,UAE,False,eBay
Realme,Realme Narzo 70,331.65,4,Positive,3,3,3,4,2,5,1,31,Australia,False,eBay
Apple,iPhone 15 Pro,1237.91,2,Negative,2,1,1,1,3,2,0,39,UK,True,Amazon
OnePlus,OnePlus 11R,995.18,4,Positive,5,4,3,2,2,8,1,41,Germany,True,eBay
Google,Pixel 7a,961.15,3,Positive,4,3,3,2,2,4,1,37,Germany,True,eBay
OnePlus,OnePlus 11R,403.04,5,Positive,4,5,2,4,4,6,1,30,UK,False,eBay
Apple,iPhone 13,755.52,3,Positive,2,3,3,2,3,7,1,40,USA,True,AliExpress
Apple,iPhone 13,917.56,3,Neutral,4,2,3,2,4,4,1,41,UAE,True,Amazon
Google,Pixel 8,998.91,1,Negative,2,1,1,1,1,0,0,32,Australia,True,Flipkart
OnePlus,OnePlus Nord 3,411.73,4,Positive,5,4,3,5,3,5,1,32,UAE,True,eBay
Samsung,Galaxy S24,978.49,1,Neutral,1,1,2,1,2,1,0,40,UK,True,eBay
Apple,iPhone SE,927.63,5,Positive,4,4,5,4,4,1,1,33,Australia,False,Flipkart
Realme,Realme 12 Pro,425.95,4,Positive,2,5,3,3,2,8,1,36,Australia,True,Flipkart
Motorola,Edge 50,621.04,3,Neutral,1,4,2,4,2,2,0,27,Canada,True,AliExpress
OnePlus,OnePlus Nord 3,428.29,4,Neutral,4,3,3,2,4,3,1,29,UK,True,eBay
Realme,Realme Narzo 70,348.3,4,Positive,5,2,5,3,4,6,1,39,Brazil,True,store
Realme,Realme 12 Pro,561.37,3,Positive,2,1,2,3,4,5,1,25,UK,False,AliExpress
Samsung,Galaxy Note 20,1340.88,4,Positive,3,3,3,5,4,5,1,35,UK,False,Flipkart
OnePlus,OnePlus 11R,988.64,4,Positive,3,2,2,5,4,4,1,38,Germany,True,AliExpress
OnePlus,OnePlus 12,883.32,1,Negative,2,1,2,1,2,4,0,18,Germany,True,Flipkart
Google,Pixel 6,863.05,5,Positive,5,5,3,5,4,3,1,49,UK,False,AliExpress
Apple,iPhone 14,1009.37,4,Positive,1,1,3,3,4,2,1,32,USA,True,AliExpress
Xiaomi,Poco X6,486.93,3,Neutral,3,1,2,3,2,1,0,40,India,True,BestBuy
Xiaomi,Redmi Note 13,261.64,4,Positive,2,4,1,5,5,3,1,22,Brazil,True,Amazon
Samsung,Galaxy Z Flip,735.37,5,Positive,4,3,4,4,5,5,1,36,Brazil,True,AliExpress
Samsung,Galaxy Note 20,749.94,2,Neutral,2,1,1,2,1,2,0,30,Australia,True,BestBuy
Google,Pixel 6,938.52,5,Positive,5,5,5,4,4,6,1,32,USA,True,BestBuy
Xiaomi,Redmi Note 13,266.5,4,Positive,1,2,5,1,1,6,1,24,UK,True,eBay
Motorola,Razr 40,645.36,5,Positive,3,5,5,5,5,4,1,23,Brazil,False,AliExpress
Realme,Realme Narzo 70,431.71,5,Positive,4,5,5,4,3,4,1,18,Canada,False,eBay
Xiaomi,Mi 13 Pro,648.29,5,Positive,5,5,5,4,5,3,1,31,UAE,False,AliExpress
Xiaomi,Redmi Note 13,353.21,3,Neutral,4,2,3,1,3,1,0,18,Canada,True,BestBuy
